id,subj2_war,subj2_adventure,subj2_comedy,subj2_biography,subj2_romance,subj2_drama,subj2_fantasy,subj2_family,subj2_sciencefiction,subj2_action,subj2_thriller,subj2_western,subj2_horror,subj2_mystery,subj2_crime,subj2_history,subj2_periodicals,subj2_others,speed,sentiment_avg,sentiment_vol,wordcount
PG10211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.21140827,0.13610999,0.002467419,45231
PG10212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25215143,0.076779999,0.002383667,55251
PG10213,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.16914339,0.11041,0.005963686,111942
PG10220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.38990337,0.11303,0.002698653,13461
PG10221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.19246742,0.14954001,0.005118631,87028
PG10222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.17871721,0.16655999,0.006123129,119880
PG10224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.33987969,0.1512,0.004078907,22778
PG10226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.20104869,0.11589,0.005723183,88710
PG1023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13201995,0.149,0.015222923,348797
PG10234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.22143018,0.13243,0.004523133,66649
PG1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.16495918,0.12809999,0.005628284,136184
PG1026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.23837523,0.14,0.004044745,40624
PG10267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2105917,0.119,0.002546537,44781
